OBJECTID,FID_ANP_Fed_ZN_ccl_V1_0,CLAVE,TIPO,,NOM_ANP,TIPO_POL,ANP & Zona Nucleo,NOM_POLIG,CAT_MANEJO,FEC_DECRET,ESTADO,MUNICIPIO,CAT_UICN,FUENTE,SUP_DECRE,HECTARES,SUPTER_CAL,SUPMAR_CAL,Ha_manu,FID_Concesiones_mineras_Agosto_2012,TITULO,IDENTICO,TITU_DERIV,TITULO_ANT,CLASE,EXPEDIENTE,AGENCIA,NOMBRELOTE,MUNICIPIO_1,ESTAMU,FECHA_SOL,SUPERFICIE,TITULAR,SUST1,SUST2,SUST3,SUST4,SUST5,SUST6,SUST7,SUST8,SUST9,EXPEDICION,VIGENCIA,ISLA,OBSERVA,CONDICION,TIPO_CAN,FECHA_OF,HECTAREAS,Inter_Has
93,6, ,Federal,,El Vizcaino,Zona Nucleo,El Vizcaino & Zona Nucleo Guerrero Negro,Zona Nucleo Guerrero Negro,RB,11/30/1988,Baja California Sur,Mulegé,Ia,CONANP,15265.75,15165.878,0,0,15165.8778643,13427,221090, , ,197749,EXPLOT.,4/2/48,2,GUERRERO NEGRO,ENSENADA,B.C.,07/23/2003,51270,"EXPORTADORA DE SAL, S.A. DE C.V.", , , , , , , , , ,11/19/2003,09/22/2043, , ,VIGENTE, , ,50975.2164348,0.1254653614
94,6, ,Federal,,El Vizcaino,Zona Nucleo,El Vizcaino & Zona Nucleo Guerrero Negro,Zona Nucleo Guerrero Negro,RB,11/30/1988,Baja California Sur,Mulegé,Ia,CONANP,15265.75,15165.878,0,0,15165.8778643,14602,224179, , ,208440,EXPLOT.,4/1/2647,100,GUERRERO NEGRO I,MULEGE,B.C.S,09/30/2004,22700,"EXPORTADORA DE SAL, S.A. DE C.V.", , , , , , , , , ,04/20/2005,04/19/2055, , ,VIGENTE, , ,24486.1865138,0.1254653614
95,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,5130,227280, , , ,EXPLOR.,30194,82,CARLOS,PUERTO PEÑASCO,SON.,01/27/2006,20,CARLOS ALBERTO SANDOVAL OSEGUERA,TRO,TSP, , , , , , , ,06/02/2006,06/01/2056, , ,VIGENTE, , ,20.1888333474,0.1033892752
96,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,13784,218286, , ,198423,EXPLOT.,4/1.3/1956,78,PINACATE 8,PUERTO PEÑASCO,SON.,11/19/1999,440.299987793,RAMON CASTAÑARES GARCIA,TRO, , , , , , , , ,10/17/2002,10/16/2052, , ,VIGENTE, , ,444.474057656,0.1033892752
97,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,5130,227280, , , ,EXPLOR.,30194,82,CARLOS,PUERTO PEÑASCO,SON.,01/27/2006,20,CARLOS ALBERTO SANDOVAL OSEGUERA,TRO,TSP, , , , , , , ,06/02/2006,06/01/2056, , ,VIGENTE, , ,20.1888333474,0.0028509389
98,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,28052,238108, , , ,EXPLOR.,34287,82,PINA 5 FRACC. 1,PUERTO PEÑASCO,SON.,09/30/2010,100,ALFONSO DACO CALONZO,Ag,Pb,Cu,TSP, , , , , ,07/20/2011,07/19/2061, , ,VIGENTE, , ,100.948242433,0.0028509389
99,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,13784,218286, , ,198423,EXPLOT.,4/1.3/1956,78,PINACATE 8,PUERTO PEÑASCO,SON.,11/19/1999,440.299987793,RAMON CASTAÑARES GARCIA,TRO, , , , , , , , ,10/17/2002,10/16/2052, , ,VIGENTE, , ,444.474057656,0.0166423566
100,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,17951,220812, , , ,EXPLOR.,28563,82,UNION FRACCION B,PUERTO PEÑASCO,SON.,06/09/2003,17.9799995422,MARCO ANTONIO RODRIGUEZ HERRERA,CAS,TRO, , , , , , , ,10/08/2003,10/07/2009, , ,VIGENTE, , ,18.1454771523,0.0166423566
101,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,13785,218287, , ,198424,EXPLOT.,4/1.3/1957,78,PINACATE 9,PUERTO PEÑASCO,SON.,11/19/1999,271.700012207,RAMON CASTAÑARES GARCIA,TRO, , , , , , , , ,10/17/2002,10/16/2052, , ,VIGENTE, , ,274.254142145,0.062556017
102,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,17625,225425, , , ,EXPLOR.,29645,82,UNION 2,PUERTO PEÑASCO,SON.,05/19/2005,260,CARLOS ALBERTO SANDOVAL OSEGUERA,TRO,TSP, , , , , , , ,09/06/2005,09/05/2011, , ,VIGENTE, , ,262.43499842,0.062556017
103,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,17625,225425, , , ,EXPLOR.,29645,82,UNION 2,PUERTO PEÑASCO,SON.,05/19/2005,260,CARLOS ALBERTO SANDOVAL OSEGUERA,TRO,TSP, , , , , , , ,09/06/2005,09/05/2011, , ,VIGENTE, , ,262.43499842,0.4904383045
104,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,28175,238183, , , ,EXPLOR.,34505,82,ALEX FRACC. 4,PUERTO PEÑASCO,SON.,09/30/2010,80,"INDUSTRIAL MINERA DEL DORADO, S.A. DE C.V.", ,TUN,TSP, , , , , , ,08/12/2011,08/11/2061, , ,VIGENTE, , ,80.7540815637,0.4904383045
105,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,17626,225426, , , ,EXPLOR.,29647,82,UNION 1,PUERTO PEÑASCO,SON.,05/19/2005,100,CARLOS ALBERTO SANDOVAL OSEGUERA,TRO,TSP, , , , , , , ,09/06/2005,09/05/2011, , ,VIGENTE, , ,100.936849029,0.1057900664
106,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,28054,238110, , , ,EXPLOR.,34287,82,PINA 5 FRACC. 3,PUERTO PEÑASCO,SON.,09/30/2010,0.7949000001,ALFONSO DACO CALONZO,Ag,Pb,Cu,TSP, , , , , ,07/20/2011,07/19/2061, , ,VIGENTE, , ,0.8023117757,0.1057900664
107,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,17626,225426, , , ,EXPLOR.,29647,82,UNION 1,PUERTO PEÑASCO,SON.,05/19/2005,100,CARLOS ALBERTO SANDOVAL OSEGUERA,TRO,TSP, , , , , , , ,09/06/2005,09/05/2011, , ,VIGENTE, , ,100.936849029,0.9901954417
108,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,28419,238494, , , ,EXPLOR.,34505,82,ALEX FRACCION 3,PUERTO PEÑASCO,SON.,09/30/2010,93.2099990845,"INDUSTRIAL MINERA DEL DORADO, S.A. DE C.V.", ,TUN,TSP, , , , , , ,09/23/2011,09/22/2061, , ,VIGENTE, , ,94.0855063508,0.9901954417
109,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,28054,238110, , , ,EXPLOR.,34287,82,PINA 5 FRACC. 3,PUERTO PEÑASCO,SON.,09/30/2010,0.7949000001,ALFONSO DACO CALONZO,Ag,Pb,Cu,TSP, , , , , ,07/20/2011,07/19/2061, , ,VIGENTE, , ,0.8023117757,0.1624452449
110,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,28419,238494, , , ,EXPLOR.,34505,82,ALEX FRACCION 3,PUERTO PEÑASCO,SON.,09/30/2010,93.2099990845,"INDUSTRIAL MINERA DEL DORADO, S.A. DE C.V.", ,TUN,TSP, , , , , , ,09/23/2011,09/22/2061, , ,VIGENTE, , ,94.0855063508,0.1624452449
111,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,5502,209549, , ,197148,EXPLOT.,5/1.3/229,94,ISYSA TRECE,RIO LAGARTOS,YUC.,12/04/1996,375,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,08/03/1999,08/02/2049, , ,VIGENTE, , ,371.367042665,0.1246523595
112,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,8594,196681, , ,163618,EXPLOT.,321.4/5305,94,ISYSA NUEVE,RIO LAGARTOS,YUC.,09/25/1992,301.200012207,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,08/06/1993,10/29/2028, , ,VIGENTE, , ,298.265491581,0.1246523595
113,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,5503,209548, , ,197147,EXPLOT.,5/1.3/228,94,ISYSA DOCE,RIO LAGARTOS,YUC.,12/04/1996,375,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,08/03/1999,08/02/2049, , ,VIGENTE, , ,371.359015926,0.1047196747
114,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,8594,196681, , ,163618,EXPLOT.,321.4/5305,94,ISYSA NUEVE,RIO LAGARTOS,YUC.,09/25/1992,301.200012207,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,08/06/1993,10/29/2028, , ,VIGENTE, , ,298.265491581,0.1047196747
115,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,5503,209548, , ,197147,EXPLOT.,5/1.3/228,94,ISYSA DOCE,RIO LAGARTOS,YUC.,12/04/1996,375,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,08/03/1999,08/02/2049, , ,VIGENTE, , ,371.359015926,0.0608429237
116,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,14614,210620, , , ,EXPLOR.,0002,113,ISYSA 10,RIO LAGARTOS,YUC.,03/12/1998,1528,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,10/29/1999,10/28/2005, , ,VIGENTE, , ,1512.71470725,0.0608429237
117,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,8587,196655, , ,164580,EXPLOT.,321.4/5328,94,GEMINIS,TIZIMIN,YUC.,03/29/1993,110,JOSE ALVAREZ GUERRERO,SAL, , , , , , , , ,08/06/1993,05/17/2029, , ,VIGENTE, , ,108.941378129,0.0007665632
118,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,8596,196735, , ,169959,EXPLOT.,321.4/5327,94,NEPTUNO,TIZIMIN,YUC.,09/25/1992,110,JOSE ALVAREZ GUERRERO,SAL, , , , , , , , ,08/06/1993,03/11/2032, , ,VIGENTE, , ,108.940503637,0.0007665632
119,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,8587,196655, , ,164580,EXPLOT.,321.4/5328,94,GEMINIS,TIZIMIN,YUC.,03/29/1993,110,JOSE ALVAREZ GUERRERO,SAL, , , , , , , , ,08/06/1993,05/17/2029, , ,VIGENTE, , ,108.941378129,0.0845353254
120,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,14613,213420, , , ,EXPLOR.,0004,113,ISYSA 15 FRACC. I,RIO LAGARTOS,YUC.,11/30/1999,1987,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,05/11/2001,05/10/2007, , ,VIGENTE, , ,1968.15354372,0.0845353254
121,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,8596,196735, , ,169959,EXPLOT.,321.4/5327,94,NEPTUNO,TIZIMIN,YUC.,09/25/1992,110,JOSE ALVAREZ GUERRERO,SAL, , , , , , , , ,08/06/1993,03/11/2032, , ,VIGENTE, , ,108.940503637,0.1519162706
122,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,14613,213420, , , ,EXPLOR.,0004,113,ISYSA 15 FRACC. I,RIO LAGARTOS,YUC.,11/30/1999,1987,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,05/11/2001,05/10/2007, , ,VIGENTE, , ,1968.15354372,0.1519162706
123,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,535,231580, , , ,EXPLOR.,9427,31,DANY DOS,XICHU,GTO.,11/08/2007,900,"DESARROLLOS MINEROS SAN LUIS, S.A. DE C.V.",Cu,Au,Zn,Fe,TSP, , , , ,03/19/2008,03/18/2058, , ,VIGENTE, , ,891.444753116,6.2497108282
124,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,578,230980, , , ,EXPLOR.,9401,31,DANY,XICHU,GTO.,05/30/2007,20090,"DESARROLLOS MINEROS SAN LUIS, S.A. DE C.V.",Au,Ag,Pb,Zn,TSP, , , , ,11/22/2007,11/21/2057, , ,VIGENTE, , ,23796.2783506,6.2497108282
125,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,578,230980, , , ,EXPLOR.,9401,31,DANY,XICHU,GTO.,05/30/2007,20090,"DESARROLLOS MINEROS SAN LUIS, S.A. DE C.V.",Au,Ag,Pb,Zn,TSP, , , , ,11/22/2007,11/21/2057, , ,VIGENTE, , ,23796.2783506,933.7601259906
126,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,814,227040, , , ,EXPLOR.,9339,31,EL MEZQUITE,XICHU,GTO.,11/08/2005,1176,"COMPAÑIA MINERA AUTLAN, S.A. DE C.V.",Mn,Ag,Au,TSP, , , , , ,04/18/2006,04/17/2056, , ,VIGENTE, , ,1164.75927838,933.7601259906
127,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,578,230980, , , ,EXPLOR.,9401,31,DANY,XICHU,GTO.,05/30/2007,20090,"DESARROLLOS MINEROS SAN LUIS, S.A. DE C.V.",Au,Ag,Pb,Zn,TSP, , , , ,11/22/2007,11/21/2057, , ,VIGENTE, , ,23796.2783506,8.0305702466
128,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,5882,211479, , ,189775,EXPLOT.,6/1.3/298,31,LAS MARGARITAS,XICHU,GTO.,12/04/1996,102,"GRUPO FERROMINERO, S.A. DE C.V.",Au,Ag,Pb,Cu,Zn, , , , ,05/31/2000,05/30/2050, , ,VIGENTE, , ,101.032323902,8.0305702466
129,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,578,230980, , , ,EXPLOR.,9401,31,DANY,XICHU,GTO.,05/30/2007,20090,"DESARROLLOS MINEROS SAN LUIS, S.A. DE C.V.",Au,Ag,Pb,Zn,TSP, , , , ,11/22/2007,11/21/2057, , ,VIGENTE, , ,23796.2783506,5.3211117144
130,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,19215,193261, , ,182117,N-EXPLOR,6/1.2/147,31,MINA PRIETA,ATARJEA,GTO.,04/18/1991,182,"MINAS DE SANTA MARTHA, S.A. DE C.V.",Au,Ag,Cu,Zn,Pb, , , , ,12/19/1991,12/18/1994, , ,VIGENTE, , ,180.27547241,5.3211117144
131,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,578,230980, , , ,EXPLOR.,9401,31,DANY,XICHU,GTO.,05/30/2007,20090,"DESARROLLOS MINEROS SAN LUIS, S.A. DE C.V.",Au,Ag,Pb,Zn,TSP, , , , ,11/22/2007,11/21/2057, , ,VIGENTE, , ,23796.2783506,2.414435214
132,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,19223,193806, , ,182619,N-EXPLOR,6/1.2/152,31,LAS GUIJAS,XICHU,GTO.,08/08/1991,474.299987793,"MINAS DE SANTA MARTHA, S.A. DE C.V.",Au,Ag,Cu,Pb,Zn, , , , ,12/19/1991,12/18/1994, , ,VIGENTE, , ,469.820827734,2.414435214
133,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,748,228283, , , ,EXPLOR.,9360,31,CARRICILLO-2,ATARJEA,GTO.,06/09/2006,3755,"MINERA DE CORDILLERAS, S. DE R.L. DE C.V.",Au,Ag,Pb,Cu,Zn,TSP, , , ,10/27/2006,10/26/2056, , ,VIGENTE, , ,3918.60807817,1.0369794108
134,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,25075,234914, , , ,EXPLOR.,9478,31,CARRICILLO 1,ATARJEA,GTO.,07/06/2009,200,"MINERA DE CORDILLERAS, S. DE R.L. DE C.V.",Au,Ag,Pb,Cu,Zn,TSP, , , ,09/15/2009,09/14/2059, , ,VIGENTE, , ,198.13598304,1.0369794108
135,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,18996,218763, , , ,EXPLOR.,9217,31,BETOnS,ATARJEA,GTO.,06/14/2002,88.9100036621,HUMBERTO VEGA OLVERA,Au,Ag,Pb,Cu,Zn,Hg,Mn,OXF, ,01/17/2003,01/16/2009, , ,VIGENTE, , ,88.0803160666,0.0041360455
136,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,29095,238911, , , ,EXPLOR.,10208,31,DONANA,ATARJEA,GTO.,12/16/2010,92.5899963379,J. RAMON CARLOS DE LA VEGA DURAN Y SOCIOS,Au,Ag,Hg,Pb,Zn,TSP, , , ,11/11/2011,11/10/2061, , ,VIGENTE, , ,91.726020555,0.0041360455
137,103, ,Federal,,Sierra Gorda de Guanajuato,Zona Nucleo,Sierra Gorda de Guanajuato & Zona Nucleo,Zona Nucleo,RB,2/2/2007,Guanajuato,"Victoria, San Ciro de Acosta y Atarjea",Ia,CONANP,78304.62762,76909.442,0,0,76909.4418,24260,234122, , , ,EXPLOR.,9363,31,EL REALITO,VICTORIA,GTO.,06/26/2006,24700,"MEXICHEM FLUOR, S.A. DE C.V.",FLU,Sb,Hg,TSP, , , , , ,05/29/2009,05/28/2059, , ,VIGENTE, , ,28599.9558757,0.7646659059
